epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1865.72,0.46392,0.29624,0.87444,0.95755,0.93215,0.98314,0.88891,0.47115,0.30776,0.9194,0.000711429,0.000711429,0.000711429
43,1909.4,0.46065,0.28859,0.87861,0.95717,0.94535,0.98437,0.89467,0.46695,0.29318,0.91366,0.00068,0.00068,0.00068
44,1952.96,0.45003,0.28468,0.87156,0.95758,0.9461,0.98451,0.88963,0.47237,0.30107,0.91388,0.000648571,0.000648571,0.000648571
45,1996.66,0.45763,0.28341,0.87709,0.95818,0.94535,0.98445,0.89445,0.46825,0.29152,0.91501,0.000617143,0.000617143,0.000617143
46,2040.82,0.4574,0.28361,0.87303,0.9576,0.94668,0.98462,0.8974,0.46398,0.29393,0.9134,0.000585714,0.000585714,0.000585714
47,2085.38,0.45608,0.28151,0.87154,0.95624,0.94754,0.98515,0.89725,0.46458,0.28864,0.9117,0.000554286,0.000554286,0.000554286
48,2129.34,0.45228,0.27686,0.87215,0.96091,0.94541,0.98461,0.89496,0.47476,0.29188,0.91884,0.000522857,0.000522857,0.000522857
49,2173.6,0.45195,0.27858,0.87336,0.95733,0.94771,0.9847,0.89757,0.46403,0.28851,0.91442,0.000491429,0.000491429,0.000491429
50,2217.16,0.45465,0.27948,0.87454,0.95698,0.94366,0.98387,0.89238,0.47082,0.29493,0.91566,0.00046,0.00046,0.00046
51,2261.22,0.44589,0.27265,0.86832,0.95697,0.93787,0.98367,0.89279,0.47377,0.30068,0.91789,0.000428571,0.000428571,0.000428571
52,2305.24,0.44657,0.27282,0.87144,0.9567,0.94729,0.98417,0.89416,0.46773,0.29115,0.91303,0.000397143,0.000397143,0.000397143
53,2349.2,0.45412,0.27547,0.87598,0.9571,0.94458,0.98446,0.89402,0.46835,0.29235,0.9168,0.000365714,0.000365714,0.000365714
54,2390.49,0.43606,0.26909,0.87049,0.95386,0.94855,0.98446,0.896,0.46645,0.28995,0.9156,0.000334286,0.000334286,0.000334286
55,2428.67,0.43176,0.26246,0.86963,0.95859,0.94122,0.98395,0.89547,0.46753,0.29586,0.91632,0.000302857,0.000302857,0.000302857
56,2466.73,0.43362,0.26443,0.8677,0.96001,0.94223,0.9841,0.89478,0.4698,0.29397,0.91534,0.000271429,0.000271429,0.000271429
57,2504.9,0.42485,0.25962,0.86368,0.95215,0.94999,0.98429,0.8962,0.46594,0.29358,0.91665,0.00024,0.00024,0.00024
58,2542.93,0.42793,0.25782,0.86423,0.95844,0.93744,0.98361,0.89239,0.47149,0.30042,0.91548,0.000208571,0.000208571,0.000208571
59,2581.06,0.42641,0.25652,0.86491,0.95938,0.9401,0.98375,0.89218,0.4739,0.29647,0.917,0.000177143,0.000177143,0.000177143
60,2619.07,0.4234,0.25172,0.86246,0.95977,0.93952,0.98405,0.896,0.4643,0.2932,0.91341,0.000145714,0.000145714,0.000145714
61,2657.14,0.4194,0.24881,0.86289,0.9607,0.93817,0.98432,0.89595,0.4653,0.29226,0.9152,0.000114286,0.000114286,0.000114286
62,2695.27,0.41782,0.24692,0.86147,0.9593,0.93506,0.98373,0.8919,0.47533,0.29849,0.91643,8.28571e-05,8.28571e-05,8.28571e-05
63,2733.23,0.41544,0.24535,0.85893,0.95753,0.94115,0.98434,0.89432,0.47173,0.29319,0.91647,5.14286e-05,5.14286e-05,5.14286e-05
